video_id,timestamp,car_id,car_box,plate_box,transcript,confidence
./data/sample.mp4,59,3.0,"[625, 1563, 1378, 2157]","[863, 2007, 1098, 2110]",NA13NRU,0.2691373418574392
./data/sample.mp4,59,1.0,"[2181, 1295, 2874, 1932]","[2450, 1736, 2632, 1813]",NT51MSU,0.1926902959400964
./data/sample.mp4,62,3.0,"[622, 1576, 1379, 2158]","[881, 2021, 1119, 2124]",NA13NRU,0.3471689995808031
./data/sample.mp4,63,3.0,"[620, 1581, 1377, 2158]","[847, 2024, 1110, 2133]",NA13NRU,0.21234501478275286
./data/sample.mp4,64,3.0,"[617, 1585, 1373, 2158]","[838, 2028, 1109, 2136]",NA13NRU,0.508392473907754
./data/sample.mp4,65,3.0,"[614, 1588, 1371, 2157]","[844, 2030, 1109, 2138]",NA13NRU,0.30846292095811845
./data/sample.mp4,66,3.0,"[611, 1591, 1369, 2156]","[852, 2040, 1120, 2151]",NA13NRU,0.2386444694414941
./data/sample.mp4,67,3.0,"[609, 1593, 1368, 2155]","[852, 2040, 1120, 2151]",NA13NRU,0.2386444694414941
./data/sample.mp4,68,1.0,"[2181, 1320, 2890, 1969]","[2450, 1765, 2635, 1849]",YV51TSU,0.16131470673508053
./data/sample.mp4,72,1.0,"[2186, 1329, 2898, 1984]","[2458, 1781, 2641, 1863]",MD51TSU,0.09069986945286049
./data/sample.mp4,96,1.0,"[2197, 1399, 2948, 2084]","[2475, 1874, 2672, 1964]",CO51VSV,0.010893273175592341
./data/sample.mp4,101,1.0,"[2198, 1413, 2959, 2103]","[2481, 1889, 2676, 1982]",NI51VSV,0.10666253078852335
./data/sample.mp4,105,1.0,"[2201, 1422, 2972, 2119]","[2485, 1908, 2685, 1991]",HU51VSU,0.1795647625334342
./data/sample.mp4,107,1.0,"[2203, 1426, 2976, 2128]","[2486, 1914, 2687, 2004]",WV51TSU,0.08395469458488387
./data/sample.mp4,112,6.0,"[1084, 1192, 1715, 1671]","[1319, 1493, 1482, 1567]",GI15OGJ,0.1351447293167207
./data/sample.mp4,113,1.0,"[2204, 1448, 2982, 2149]","[2490, 1937, 2693, 2031]",MD51VSU,0.1348821042793
./data/sample.mp4,113,6.0,"[1082, 1195, 1715, 1674]","[1297, 1491, 1460, 1568]",GR15CCJ,0.089957292636936
